timestamp,source,event_details_change,event_login,event_password_change
2023-10-11 00:45:59.316315086,C1974668487,1,0,0
2023-10-11 03:47:33.573455508,C1973547259,0,1,0
2023-10-11 00:20:39.854632302,C515668508,0,1,0
2023-10-11 02:28:09.963849221,C1721541488,1,0,0
2023-10-11 04:05:58.011272667,C394979408,0,0,1
2023-10-10 23:37:06.515086529,C644590864,1,0,0
2023-10-11 02:37:10.314094129,C1112424232,0,1,0
2023-10-11 14:37:03.015134405,C1569014356,0,1,0
2023-10-10 05:30:03.788433106,C1689884214,0,0,1
2023-10-09 22:57:11.216650603,C651594350,0,0,1
2023-10-11 15:23:24.872994550,C517412999,1,0,0
2023-10-09 17:08:10.172294938,C126603077,1,0,0
2023-10-09 23:40:21.540442879,C484268062,1,0,0
2023-10-10 12:30:37.313152222,C1920284556,0,1,0
2023-10-10 09:20:30.707078256,C56197730,0,1,0
2023-10-11 05:56:09.077666673,C1536088502,0,0,1
2023-10-10 09:02:55.488550626,C634714812,0,0,1
2023-10-09 16:34:17.382387127,C67418210,0,0,1
2023-10-10 09:50:31.634234903,C1689772812,0,1,0
2023-10-10 19:56:59.585270961,C352968107,0,1,0
2023-10-10 19:55:13.552230202,C742393642,1,0,0
2023-10-10 11:58:12.095401886,C1853277977,1,0,0
2023-10-10 02:18:31.849327139,C1652856443,0,0,1
2023-10-09 17:54:26.567918746,C1374422827,0,0,1
2023-10-11 07:09:10.446982489,C1902104464,1,0,0
2023-10-10 20:51:01.190897260,C1592390864,1,0,0
2023-10-11 02:01:02.197649940,C784613823,1,0,0
2023-10-11 04:03:20.332136874,C438957460,0,0,1
2023-10-11 03:36:36.459827882,C1088853847,1,0,0
2023-10-11 07:33:19.068541073,C389387421,1,0,0
2023-10-10 04:16:31.539035725,C1273564839,1,0,0
2023-10-10 13:26:56.905017678,C1763311989,1,0,0
2023-10-10 23:58:24.762338509,C531360588,0,0,1
2023-10-10 03:08:25.290700858,C2117938225,0,1,0
2023-10-10 05:44:18.826354894,C1429394820,0,0,1
2023-10-11 13:50:24.884237006,C26438018,0,0,1
2023-10-10 20:53:22.370550409,C121713128,0,0,1
2023-10-11 02:47:02.644766019,C121713128,0,1,0
2023-10-11 14:43:43.159556186,C635603510,1,0,0
2023-10-11 02:14:47.297660938,C413843100,1,0,0
2023-10-10 17:24:34.466962116,C400803731,0,1,0
2023-10-10 21:13:56.825285803,C1533572842,1,0,0
2023-10-09 16:24:07.255359662,C2009344338,0,1,0
2023-10-11 03:17:35.331673072,C585290792,0,0,1
2023-10-10 23:31:17.294363709,C854479209,0,1,0
2023-10-10 05:15:10.549382664,C1038215695,1,0,0
2023-10-10 23:31:13.319933869,C1890191192,1,0,0
2023-10-11 00:57:54.638153652,C1048588440,0,1,0
2023-10-11 13:59:19.855246839,C44151986,0,0,1
2023-10-09 17:00:55.179137787,C1480799932,0,1,0
2023-10-10 07:21:26.891808261,C1715900756,1,0,0
2023-10-10 16:39:07.456844593,C647327489,0,0,1
2023-10-09 22:51:56.736162776,C1674379117,1,0,0
2023-10-11 09:49:52.766193538,C760368405,0,0,1
2023-10-11 09:46:09.559368731,C1519265307,0,1,0
2023-10-11 02:11:00.965643971,C418638324,0,0,1
2023-10-10 15:41:25.101675584,C880625364,1,0,0
2023-10-11 13:02:46.050338517,C1237272991,0,0,1
2023-10-10 09:11:36.489199450,C1426091756,0,1,0
2023-10-09 23:21:29.904390879,C918296398,0,1,0
2023-10-11 02:32:32.820121748,C318717540,0,0,1
2023-10-11 15:07:25.208518507,C841956493,0,0,1
2023-10-09 15:39:05.000160492,C544997662,0,0,1
2023-10-11 04:50:19.331759239,C1215440829,0,1,0
2023-10-09 23:02:48.210547078,C851156881,0,0,1
2023-10-11 09:53:52.548380542,C1646349423,1,0,0
2023-10-09 16:48:17.178061241,C2044070952,0,1,0
2023-10-10 16:14:40.377725469,C454239699,0,0,1
2023-10-10 12:22:07.862634248,C682529129,0,1,0
2023-10-10 04:34:29.898760282,C47462628,0,1,0
2023-10-10 22:03:08.990035739,C896561469,0,0,1
2023-10-10 03:43:22.060054201,C1584366693,0,0,1
2023-10-10 13:23:27.910740903,C369566106,0,0,1
2023-10-10 06:23:24.468968705,C1174735331,0,1,0
2023-10-11 14:00:03.552897445,C1962291095,0,0,1
2023-10-11 04:35:45.431097769,C688041542,0,0,1
2023-10-11 07:27:47.977907172,C107438779,0,0,1
2023-10-10 10:22:13.468185064,C559952121,0,0,1
2023-10-10 02:14:41.161373991,C828968085,0,0,1
2023-10-10 03:49:00.849860774,C402571153,1,0,0
2023-10-10 01:45:55.056477309,C1200798307,1,0,0
2023-10-10 20:56:55.958513383,C2029028090,0,1,0
2023-10-11 11:56:18.732054590,C755615643,0,0,1
2023-10-10 11:39:54.007600066,C1549322511,1,0,0
2023-10-10 05:14:06.231913033,C1018388493,0,0,1
2023-10-10 08:44:00.547694315,C1350409226,0,0,1
2023-10-10 14:46:22.879678949,C2084267589,0,1,0
2023-10-10 05:43:14.270711705,C450299456,1,0,0
2023-10-09 21:16:46.045091208,C1897313368,0,0,1
2023-10-09 22:01:37.852448201,C1204740969,0,1,0
2023-10-10 09:54:59.689582052,C1595099029,0,0,1
2023-10-09 17:18:37.646952587,C457497998,1,0,0
2023-10-10 15:15:11.791936179,C21670075,1,0,0
